CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-01-01 00:00,mm,3.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-02-01 00:00,mm,0,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-03-01 00:00,mm,14.6,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-04-01 00:00,mm,82.3,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-05-01 00:00,mm,315.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-06-01 00:00,mm,191.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-07-01 00:00,mm,270.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-08-01 00:00,mm,273.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-09-01 00:00,mm,453.4,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-10-01 00:00,mm,258.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-11-01 00:00,mm,61.6,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2019-12-01 00:00,mm,21,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-01-01 00:00,mm,2.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-02-01 00:00,mm,0,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-03-01 00:00,mm,0,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-04-01 00:00,mm,94.1,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-05-01 00:00,mm,291.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-06-01 00:00,mm,119.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-07-01 00:00,mm,281,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-08-01 00:00,mm,225.4,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-09-01 00:00,mm,180.3,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-10-01 00:00,mm,240.3,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-11-01 00:00,mm,94,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2020-12-01 00:00,mm,35,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-01-01 00:00,mm,15,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-02-01 00:00,mm,20,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-03-01 00:00,mm,35.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-04-01 00:00,mm,181.6,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-05-01 00:00,mm,181.7,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-06-01 00:00,mm,206.4,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-07-01 00:00,mm,277,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-08-01 00:00,mm,325.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-09-01 00:00,mm,193.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-10-01 00:00,mm,133.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-11-01 00:00,mm,136,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2021-12-01 00:00,mm,4.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-01-01 00:00,mm,16.7,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-02-01 00:00,mm,20.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-03-01 00:00,mm,80.1,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-04-01 00:00,mm,206.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-05-01 00:00,mm,101,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-06-01 00:00,mm,227.4,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-07-01 00:00,mm,256.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-08-01 00:00,mm,344.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-09-01 00:00,mm,208.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-10-01 00:00,mm,159.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-11-01 00:00,mm,171.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2022-12-01 00:00,mm,6.1,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-01-01 00:00,mm,88.3,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-02-01 00:00,mm,0,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-03-01 00:00,mm,64.3,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-04-01 00:00,mm,145.3,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-05-01 00:00,mm,357.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-06-01 00:00,mm,334.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-07-01 00:00,mm,263.6,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-08-01 00:00,mm,174.6,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-09-01 00:00,mm,173.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-10-01 00:00,mm,238.7,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-11-01 00:00,mm,76.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2023-12-01 00:00,mm,7.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-01-01 00:00,mm,1.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-02-01 00:00,mm,12.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-03-01 00:00,mm,11.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-04-01 00:00,mm,146.4,Preliminar
